Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM46;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM45;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM44;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM43;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM42;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM41;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM40;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM39;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM38;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM37;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM36;235
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM35;235
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM34;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM33;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM32;222
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM31;225
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM30;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM29;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM28;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM27;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM26;313
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM25;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM24;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM23;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM22;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM21;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM20;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM19;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM18;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM17;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM16;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM15;299
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM14;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM13;248
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM12;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM11;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM10;299
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM09;310
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM08;308
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM07;312
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM06;355
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM05;353
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM04;359
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM03;361
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM02;330
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2019SM01;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2018SM52;288
